1	 1.169676e-02
2	 1.145483e-02
3	 2.174518e-03
4	 3.742732e-04
5	 3.070361e-03
6	 1.318830e-02
7	 1.318830e-02
8	 3.070361e-03
9	 3.742732e-04
10	 8.320142e-03
11	 2.495307e-02
12	 3.327077e-02
13	 3.327077e-02
14	 3.327077e-02
15	 3.327077e-02
16	 3.327077e-02
17	 3.327077e-02
18	 3.327077e-02
19	 3.327077e-02
20	 3.327077e-02
21	 3.327077e-02
22	 3.327077e-02
23	 3.327077e-02
24	 3.327077e-02
25	 2.495307e-02
26	 9.091650e-03
27	 9.487414e-04
28	 2.751232e-03
29	 1.216145e-02
30	 1.216145e-02
31	 2.751232e-03
32	 9.487414e-04
33	 7.543732e-03
34	 2.185724e-02
35	 3.017493e-02
36	 2.896793e-02
37	 1.426655e-02
38	 6.034986e-04
39	 1.424418e-03
