1	 3	 -1
1	 14	 1
2	 14	 -1
2	 21	 1
3	 21	 -1
3	 22	 1
4	 22	 -1
4	 20	 1
5	 20	 -1
5	 29	 1
6	 29	 -1
6	 30	 1
7	 30	 -1
7	 32	 1
8	 32	 -1
8	 31	 1
9	 31	 -1
9	 28	 1
10	 28	 -1
10	 16	 1
11	 16	 -1
11	 15	 1
12	 15	 -1
12	 2	 1
13	 2	 -1
13	 11	 1
14	 11	 -1
14	 12	 1
15	 12	 -1
15	 5	 1
16	 5	 -1
16	 4	 1
17	 4	 -1
17	 1	 1
18	 1	 -1
18	 10	 1
19	 10	 -1
19	 18	 1
20	 18	 -1
20	 25	 1
21	 25	 -1
21	 24	 1
22	 24	 -1
22	 23	 1
23	 23	 -1
23	 27	 1
24	 27	 -1
24	 26	 1
25	 26	 -1
25	 19	 1
26	 19	 -1
26	 17	 1
27	 17	 -1
27	 7	 1
28	 7	 -1
28	 6	 1
29	 6	 -1
29	 8	 1
30	 8	 -1
30	 9	 1
31	 9	 -1
31	 13	 1
