1	 6.667827e-03
2	 4.201032e-03
3	 8.523116e-04
4	 1.701818e-03
5	 1.336578e-02
6	 1.336578e-02
7	 1.701818e-03
8	 8.523116e-04
9	 9.025812e-03
10	 2.494572e-02
11	 3.326096e-02
12	 3.326096e-02
13	 3.326096e-02
14	 3.326096e-02
15	 3.326096e-02
16	 3.326096e-02
17	 3.326096e-02
18	 2.494327e-02
19	 8.315240e-03
20	 3.742732e-04
21	 3.070361e-03
22	 1.318830e-02
23	 1.318830e-02
24	 3.070361e-03
25	 3.742732e-04
26	 7.571596e-03
27	 2.345598e-02
28	 3.177367e-02
29	 3.177367e-02
30	 3.018499e-02
31	 1.747552e-02
