1	 19	 -1
1	 12	 1
2	 12	 -1
2	 29	 1
3	 29	 -1
3	 31	 1
4	 31	 -1
4	 33	 1
5	 33	 -1
5	 32	 1
6	 32	 -1
6	 30	 1
7	 30	 -1
7	 22	 1
8	 22	 -1
8	 24	 1
9	 24	 -1
9	 23	 1
10	 23	 -1
10	 18	 1
11	 18	 -1
11	 6	 1
12	 6	 -1
12	 5	 1
13	 5	 -1
13	 2	 1
14	 2	 -1
14	 9	 1
15	 9	 -1
15	 8	 1
16	 8	 -1
16	 7	 1
17	 7	 -1
17	 1	 1
18	 1	 -1
18	 3	 1
19	 3	 -1
19	 4	 1
20	 4	 -1
20	 14	 1
21	 14	 -1
21	 13	 1
22	 13	 -1
22	 16	 1
23	 16	 -1
23	 15	 1
24	 15	 -1
24	 21	 1
25	 21	 -1
25	 25	 1
26	 25	 -1
26	 37	 1
27	 37	 -1
27	 38	 1
28	 38	 -1
28	 40	 1
29	 40	 -1
29	 39	 1
30	 39	 -1
30	 36	 1
31	 36	 -1
31	 35	 1
32	 35	 -1
32	 34	 1
33	 34	 -1
33	 20	 1
34	 20	 -1
34	 10	 1
35	 10	 -1
35	 11	 1
36	 11	 -1
36	 17	 1
37	 17	 -1
37	 27	 1
38	 27	 -1
38	 26	 1
39	 26	 -1
39	 28	 1
